,,,,
,,,,
"Attendances by attendance source, arrival mode and discharge destination",,,,
"The table below shows a count of A&E attendances (excluding planned attendances) and a rate of total attendances, broken down by attendance source, arrival mode and discharge destination. 
",,,,
,,,,
"Copyright © 2025, NHS England.",,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,
,,,,
Reporting Period,Measure Type,Measure,Attendances,% of total attendances
2024-05,Discharge Destination,Discharge to nursing home (procedure),1780,0.08
2024-05,Discharge Destination,Discharge to police custody (procedure),2882,0.13
2024-05,Discharge Destination,Discharge to residential home (procedure),1775,0.08
2024-05,Discharge Destination,Discharge to ward (procedure),330980,14.52
2024-05,Discharge Destination,Emergency department discharge to ambulatory emergency care service (procedure),62772,2.75
2024-05,Discharge Destination,Emergency department discharge to coronary care unit (procedure),1565,0.07
2024-05,Discharge Destination,Emergency department discharge to emergency department short stay ward (procedure),20862,0.92
2024-05,Discharge Destination,Emergency department discharge to high dependency unit (procedure),896,0.04
2024-05,Discharge Destination,Emergency department discharge to intensive care unit (procedure),1694,0.07
2024-05,Discharge Destination,Emergency department discharge to neonatal intensive care unit (procedure),57,0
2024-05,Discharge Destination,Emergency department discharge to special care baby unit (procedure),40,0
2024-05,Discharge Destination,Not Known,305927,13.42
2024-05,Discharge Destination,"Patient discharge, to legal custody (procedure)",849,0.04
2024-05,Discharge Destination,"Patient transfer, to another health care facility (procedure)",49433,2.17
2024-05,Discharge Destination,Urgent admission to hospice (procedure),34,0
2024-05,Discharge Destination,Discharge Destination Total,2279385,100
2024-06,Arrival Mode,Brought in by ambulance (including helicopter / Air Ambulance),371207,17.17
2024-06,Arrival Mode,Not Known,63536,2.94
2024-06,Arrival Mode,Other,1727316,79.89
2024-06,Arrival Mode,Arrival Mode Total,2162059,100
2024-06,Attendance Source,Advised to attend accident and emergency department (situation),13044,0.6
2024-06,Attendance Source,Not Known,121317,5.61
2024-06,Attendance Source,Private referral (procedure),259,0.01
2024-06,Attendance Source,Referral by out of hours service (procedure),8881,0.41
2024-06,Attendance Source,Referred by Coastguard Rescue Service (finding),13,0
2024-06,Attendance Source,Referred by Fire and Rescue Service (finding),1899,0.09
2024-06,Attendance Source,Referred by Her Majesty's Prison Service (finding),829,0.04
2024-06,Attendance Source,Referred by National Health Service 111 service (finding),122391,5.66
2024-06,Attendance Source,Referred by Social Services (finding),297,0.01
2024-06,Attendance Source,Referred by adult day care centre (finding),102,0
2024-06,Attendance Source,Referred by advanced care practitioner (finding),5448,0.25
2024-06,Attendance Source,Referred by ambulance service (finding),194107,8.98
2024-06,Attendance Source,Referred by carer (finding),19442,0.9
2024-06,Attendance Source,Referred by community mental health nurse (finding),98,0
2024-06,Attendance Source,Referred by community nurse (finding),855,0.04
2024-06,Attendance Source,Referred by dentist (finding),437,0.02
2024-06,Attendance Source,Referred by detention centre (finding),74,0
2024-06,Attendance Source,Referred by health visitor (finding),221,0.01
2024-06,Attendance Source,Referred by homeless drop-in centre (finding),21,0
2024-06,Attendance Source,Referred by hospital emergency department (finding),23481,1.09
2024-06,Attendance Source,Referred by hospital outpatient department (finding),6203,0.29
2024-06,Attendance Source,Referred by hospital ward (finding),2700,0.12
2024-06,Attendance Source,Referred by member of Primary Health Care Team (finding),98550,4.56
2024-06,Attendance Source,Referred by mental health assessment team (finding),397,0.02
2024-06,Attendance Source,Referred by midwife (finding),1331,0.06
2024-06,Attendance Source,Referred by mountain rescue service (finding),39,0
2024-06,Attendance Source,Referred by optician (finding),2918,0.13
2024-06,Attendance Source,Referred by out of hours service (finding),1172,0.05
2024-06,Attendance Source,Referred by pharmacist (finding),3348,0.15
2024-06,Attendance Source,Referred by police (finding),7756,0.36
2024-06,Attendance Source,Referred by private sector physician (finding),432,0.02
2024-06,Attendance Source,Referred by school nurse (finding),2540,0.12
2024-06,Attendance Source,Referred by search and rescue service (finding),2053,0.09
2024-06,Attendance Source,Referred by self (finding),281750,13.03
2024-06,Attendance Source,Referred by service (finding),670,0.03
2024-06,Attendance Source,Referred by urgent care service (finding),49381,2.28
2024-06,Attendance Source,Self-referral to accident and emergency department (procedure),1187603,54.93
2024-06,Attendance Source,Attendance Source Total,2162059,100
2024-06,Discharge Destination,Admission to the mortuary (procedure),1422,0.07
2024-06,Discharge Destination,Discharge to home (procedure),1411323,65.28
2024-06,Discharge Destination,Discharge to hospital at home service (procedure),231,0.01
2024-06,Discharge Destination,Discharge to nursing home (procedure),1662,0.08
2024-06,Discharge Destination,Discharge to police custody (procedure),2844,0.13
2024-06,Discharge Destination,Discharge to residential home (procedure),1718,0.08
2024-06,Discharge Destination,Discharge to ward (procedure),316130,14.62
2024-06,Discharge Destination,Emergency department discharge to ambulatory emergency care service (procedure),60484,2.8
2024-06,Discharge Destination,Emergency department discharge to coronary care unit (procedure),1616,0.07
2024-06,Discharge Destination,Emergency department discharge to emergency department short stay ward (procedure),20891,0.97
2024-06,Discharge Destination,Emergency department discharge to high dependency unit (procedure),928,0.04
2024-06,Discharge Destination,Emergency department discharge to intensive care unit (procedure),1652,0.08
2024-06,Discharge Destination,Emergency department discharge to neonatal intensive care unit (procedure),40,0
