,,,,,
,,,,,
Attendances by key clinical fields,,,,,
"The table below shows a count of A&E attendances (excluding planned attendances) and a rate of total attendances, broken down by the following key clinical fields:
- Chief Complaint
- First and secondary diagnosis codes
- Investigation Code
- Treatment Code
",,,,,
,,,,,
"Copyright © 2025, NHS England.",,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,
,,,,,
Reporting Period,Measure Type,Code,Description,Attendances,% of total attendances
2024/25,First Diagnosis Code,10001005,Bacterial sepsis (disorder),246,0
2024/25,First Diagnosis Code,1001000119102,Pulmonary embolism with pulmonary infarction (disorder),70,0
2024/25,First Diagnosis Code,1003421003,Intra-abdominal omphalomesenteric duct cyst (disorder),1,0
2024/25,First Diagnosis Code,1003433008,Malrotation of small intestine (disorder),2,0
2024/25,First Diagnosis Code,1003549007,Agenesis of radius (disorder),1,0
2024/25,First Diagnosis Code,1004090008,Entrapment of left ulnar nerve at elbow (disorder),1,0
2024/25,First Diagnosis Code,1004092000,Entrapment of right ulnar nerve at elbow (disorder),1,0
2024/25,First Diagnosis Code,10041001,Tracheal stenosis following tracheostomy (disorder),1,0
2024/25,First Diagnosis Code,100491000119103,Myelopathy co-occurrent and due to spinal stenosis of lumbar region (disorder),47,0
2024/25,First Diagnosis Code,10050004,Contusion of chest (disorder),35689,0.14
2024/25,First Diagnosis Code,100731000119107,Low grade astrocytoma of brain (disorder),2,0
2024/25,First Diagnosis Code,10087007,Infection caused by Schistosoma (disorder),44,0
2024/25,First Diagnosis Code,1010213000,Congenital dysplasia of right hip (disorder),1,0
2024/25,First Diagnosis Code,1010229008,Neural hearing loss of left ear (disorder),17,0
2024/25,First Diagnosis Code,1010230003,Neural hearing loss of right ear (disorder),12,0
2024/25,First Diagnosis Code,1010333003,Emphysema of left lung (disorder),3,0
2024/25,First Diagnosis Code,1010334009,Emphysema of right lung (disorder),4,0
2024/25,First Diagnosis Code,1010397000,Severe deficiency of glucose-6-phosphate dehydrogenase (disorder),1,0
2024/25,First Diagnosis Code,1010405004,Paroxysmal atrial fibrillation with rapid ventricular response (disorder),73,0
2024/25,First Diagnosis Code,1010568002,Undescended left testicle (disorder),4,0
2024/25,First Diagnosis Code,1010569005,Undescended right testicle (disorder),2,0
2024/25,First Diagnosis Code,1010626008,Recurrent peritonsillar abscess (disorder),1,0
2024/25,First Diagnosis Code,1010634002,Pneumonia caused by Acinetobacter (disorder),1,0
2024/25,First Diagnosis Code,1010660001,Infantile hemangioma of subglottis (disorder),1,0
2024/25,First Diagnosis Code,1010668008,Stickler syndrome type 1 (disorder),1,0
2024/25,First Diagnosis Code,1010672007,Benign positional paroxysmal vertigo lateral canal (disorder),4,0
2024/25,First Diagnosis Code,1010673002,Benign positional paroxysmal vertigo posterior canal (disorder),23,0
2024/25,First Diagnosis Code,1010730002,Thromboembolus of artery of lower limb (disorder),1,0
2024/25,First Diagnosis Code,10121008,Open wound of nape of neck without complication (disorder),1,0
2024/25,First Diagnosis Code,101281000119107,Congestive heart failure due to cardiomyopathy (disorder),2,0
2024/25,First Diagnosis Code,101301000119106,Acute hypercapnic respiratory failure due to obstructive sleep apnea (disorder),3,0
2024/25,First Diagnosis Code,10137002,Epidermal burn of chin (disorder),5,0
2024/25,First Diagnosis Code,101421000119107,Dementia due to Parkinson's disease (disorder),3,0
2024/25,First Diagnosis Code,101621000119105,Postoperative neuroma of upper limb (disorder),1,0
2024/25,First Diagnosis Code,10180006,Focal hemosiderosis (disorder),1,0
2024/25,First Diagnosis Code,10211000132109,Perinatal depression (disorder),2,0
2024/25,First Diagnosis Code,102361000119104,Chronic pneumonia (disorder),1,0
2024/25,First Diagnosis Code,102452004,Abscess of thyroid (disorder),1,0
2024/25,First Diagnosis Code,102453009,Peritonsillar cellulitis (disorder),161,0
2024/25,First Diagnosis Code,10277002,Cerebellopontine angle syndrome (disorder),1,0
2024/25,First Diagnosis Code,10283004,Congenital stenosis of cervical canal (disorder),1,0
2024/25,First Diagnosis Code,102878001,Recurrent miscarriage (disorder),6,0
2024/25,First Diagnosis Code,10301003,Tick-borne relapsing fever (disorder),3,0
2024/25,First Diagnosis Code,103081004,Immunodeficiency secondary to chemotherapy (disorder),2,0
2024/25,First Diagnosis Code,10321002,Abscess of mastoid (disorder),16,0
2024/25,First Diagnosis Code,10327003,Cocaine-induced mood disorder (disorder),4,0
2024/25,First Diagnosis Code,1033051000000101,Influenza due to zoonotic influenza virus (disorder),1,0
2024/25,First Diagnosis Code,1033071000000105,Influenza due to pandemic influenza virus (disorder),1,0
2024/25,First Diagnosis Code,1033091000000109,Influenza due to seasonal influenza virus (disorder),14,0
2024/25,First Diagnosis Code,1033111000000104,Influenza with pneumonia due to seasonal influenza virus (disorder),3,0
2024/25,First Diagnosis Code,10335000,Chronic right-sided heart failure (disorder),3,0
2024/25,First Diagnosis Code,1033571000000100,Minor postpartum haemorrhage (disorder),2,0
2024/25,First Diagnosis Code,1033591000000101,Major postpartum haemorrhage (disorder),2,0
2024/25,First Diagnosis Code,1033961000000104,Gouty tophi of toe (disorder),4,0
2024/25,First Diagnosis Code,10347006,Solar urticaria (disorder),7,0
2024/25,First Diagnosis Code,10349009,Multi-infarct dementia with delirium (disorder),5,0
2024/25,First Diagnosis Code,10351000132101,Post polypectomy electrocoagulation syndrome (disorder),6,0
2024/25,First Diagnosis Code,10351008,Suppurative tonsillitis (disorder),5,0
2024/25,First Diagnosis Code,1035521000000103,Lymphoedema following cancer (disorder),1,0
2024/25,First Diagnosis Code,1035841000000108,Lymphoedema following breast cancer (disorder),2,0
2024/25,First Diagnosis Code,10366006,Open wound of pelvic region with complication (disorder),2,0
2024/25,First Diagnosis Code,1036671000000106,Severe sepsis (disorder),7,0
2024/25,First Diagnosis Code,103691000119106,Gastric ulcer caused by Helicobacter pylori (disorder),4,0
2024/25,First Diagnosis Code,103735009,Palliative care (regime/therapy),1113,0
2024/25,First Diagnosis Code,103742009,Renewal of prescription (procedure),20021,0.08
2024/25,First Diagnosis Code,10380004,Crushing injury of finger (disorder),10490,0.04
2024/25,First Diagnosis Code,10385009,Poisoning caused by digoxin (disorder),12,0
2024/25,First Diagnosis Code,10392004,Injury of abdominal aorta (disorder),75,0
2024/25,First Diagnosis Code,10394003,Friedreich's ataxia (disorder),4,0
2024/25,First Diagnosis Code,104041000119108,Fungal sinusitis (disorder),5,0
2024/25,First Diagnosis Code,10446001,Aspergilloma (disorder),5,0
2024/25,First Diagnosis Code,10469003,Chronic hypokalemia (disorder),4,0
2024/25,First Diagnosis Code,1048003,Capillary specimen collection (procedure),2,0
2024/25,First Diagnosis Code,10481000119108,Colloid brain cyst (disorder),8,0
2024/25,First Diagnosis Code,1048451000000103,Acute kidney injury due to acute tubular necrosis due to hypovolaemia (disorder),2,0
2024/25,First Diagnosis Code,1048481000000109,Acute kidney injury due to acute tubular necrosis due to circulatory failure (disorder),1,0
2024/25,First Diagnosis Code,1048491000000106,Acute kidney injury due to acute tubular necrosis due to sepsis (disorder),6,0
2024/25,First Diagnosis Code,1048501000000100,Acute kidney injury due to acute tubular necrosis with histological evidence (disorder),1,0
2024/25,First Diagnosis Code,1048521000000109,Acute kidney injury due to acute tubular necrosis due to sepsis with histological evidence (disorder),1,0
2024/25,First Diagnosis Code,10491000119106,Complication of colostomy (disorder),2,0
2024/25,First Diagnosis Code,10491005,Herpes zoster with meningitis (disorder),2,0
2024/25,First Diagnosis Code,104951000119106,Vitreous hemorrhage due to type 1 diabetes mellitus (disorder),8,0
2024/25,First Diagnosis Code,105421000119105,Early onset Alzheimer's disease with behavioral disturbance (disorder),1,0
2024/25,First Diagnosis Code,1054451000000109,Nonvascular ulcer of leg (disorder),7,0
2024/25,First Diagnosis Code,105526001,Homeless family (finding),5,0
2024/25,First Diagnosis Code,10553007,Poisoning caused by vitamin D (disorder),2,0
2024/25,First Diagnosis Code,105629000,Chlamydial infection (disorder),964,0
